Key,Frequency (Hz),Phase (rad),X,Y
1,7.4,0,100,750
2,8.2,0,260,750
3,9,0,420,750
4,9.8,0,580,750
5,10.6,0,740,750
6,11.4,0,900,750
7,12.2,0,1060,750
8,13,0,1220,750
9,13.8,0,1380,750
0,14.6,0,1540,750
←,15.6,1.571,1700,750
Q,7.6,1.571,153,600
W,8.4,1.571,313,600
E,9.2,1.571,473,600
R,10,1.571,633,600
T,10.8,1.571,793,600
Y,11.6,1.571,953,600
U,12.4,1.571,1113,600
I,13.2,1.571,1273,600
O,14,1.571,1433,600
P,14.8,1.571,1593,600
A,7.8,3.142,207,450
S,8.6,3.142,367,450
D,9.4,3.142,527,450
F,10.2,3.142,687,450
G,11,3.142,847,450
H,11.8,3.142,1007,450
J,12.6,3.142,1167,450
K,13.4,3.142,1327,450
L,14.2,3.142,1487,450
↵,15,3.142,1647,450
⇧,8,4.712,100,300
Z,8.8,4.712,260,300
X,9.6,4.712,420,300
C,10.4,4.712,580,300
V,11.2,4.712,740,300
B,12,4.712,900,300
N,12.8,4.712,1060,300
M,13.6,4.712,1220,300
",",14.4,4.712,1380,300
.,15.2,4.712,1540,300
/,15.8,3.142,1700,300
 ,15.4,0,900,150
